"発表年月日","発表時間","検査実施人数（累計）","陽性者数（累計）","入院中（合計）","入院中（中等症以下）","入院中（重症）","宿泊療養","死亡（累計）","退院（累計）"
"3/10/20","24時","444","25","24","20","4","0","0","1"
"3/11/20","24時","540","37","35","31","4","0","1","1"
"3/12/20","24時","650","46","44","40","4","0","1","1"
"3/13/20","24時","744","56","54","50","4","0","1","1"
"3/14/20","24時","824","67","64","57","7","0","1","2"
"3/15/20","24時","887","78","75","68","7","0","1","2"
"3/16/20","24時","951","82","78","72","6","0","2","2"
"3/17/20","23時","1024","86","81","75","6","0","2","3"
"3/18/20","24時","1131","91","84","78","6","0","3","4"
"3/19/20","24時","1315","93","85","80","5","0","4","4"
"3/20/20","24時","1442","101","88","83","5","0","4","9"
"3/21/20","24時","1526","107","94","88","6","0","4","9"
"3/22/20","24時","1615","111","96","91","5","0","6","9"
"3/23/20","24時","1730","113","92","86","6","0","6","15"
"3/24/20","24時","1863","118","96","89","7","0","6","16"
"3/25/20","24時","2039","119","96","89","7","0","6","17"
"3/26/20","24時","2130","120","96","88","8","0","7","17"
"3/27/20","24時","2291","123","97","91","6","0","9","17"
"3/28/20","24時","2393","126","99","93","6","0","10","17"
"3/29/20","24時","2413","133","106","100","6","0","10","17"
"3/30/20","24時","2476","137","86","81","5","0","11","40"
"3/31/20","24時","2614","148","97","91","6","0","11","40"
"4/1/20","24時","2717","162","111","103","8","0","11","40"
"4/2/20","24時","2814","169","108","100","8","0","11","50"
"4/3/20","24時","2927","175","114","106","8","0","11","50"
"4/4/20","24時","3048","190","129","121","8","0","11","50"
"4/5/20","24時","3084","203","142","134","8","0","11","50"
"4/6/20","24時","3181","209","137","130","7","0","12","60"
"4/7/20","24時","3357","229","157","149","8","0","12","60"
"4/8/20","24時","3526","248","176","168","8","0","12","60"
"4/9/20","24時","3721","287","214","205","9","0","13","60"
"4/10/20","24時","3924","316","225","217","8","0","13","78"
"4/11/20","24時","4180","358","248","240","8","5","14","91"
"4/12/20","24時","4284","375","252","244","8","14","14","95"
"4/13/20","24時","4439","384","237","219","18","25","15","107"
"4/14/20","24時","4684","403","242","219","23","39","15","107"
"4/15/20","24時","4899","423","252","227","25","48","15","108"
"4/16/20","24時","5112","454","266","240","26","54","16","118"
"4/17/20","24時","5335","481","273","246","27","73","17","118"
"4/18/20","24時","5541","502","291","264","27","76","17","118"
"4/19/20","24時","5667","513","306","278","28","61","19","127"
"4/20/20","24時","5804","524","270","242","28","77","22","155"
"4/21/20","24時","6036","543","277","248","29","88","22","156"
"4/22/20","24時","6289","560","270","238","32","85","22","183"
"4/23/20","24時","6552","580","279","250","29","78","22","201"
"4/24/20","24時","6745","605","262","234","28","81","23","239"
"4/25/20","24時","6937","620","268","241","27","88","24","240"
"4/26/20","24時","7031","629","271","244","27","82","24","252"
"4/27/20","24時","7175","630","258","228","30","90","24","258"
"4/28/20","24時","7392","637","244","218","26","90","27","276"
"4/29/20","24時","7617","643","234","209","25","78","27","304"
"4/30/20","24時","7782","646","220","199","21","78","27","321"
"5/1/20","24時","8067","651","205","184","21","68","27","351"
"5/2/20","24時","8233","655","202","179","23","67","28","358"
"5/3/20","24時","8354","667","201","180","21","61","28","377"
"5/4/20","24時","8484","668","202","179","23","56","29","381"
"5/5/20","24時","8551","674","183","160","23","51","30","410"
"5/6/20","24時","8713","677","163","139","24","47","30","437"
"5/7/20","24時","8873","680","152","128","24","42","32","454"
"5/8/20","24時","9082","680","143","120","23","42","32","463"
"5/9/20","24時","9328","688","132","108","24","36","34","486"
"5/10/20","24時","9416","693","130","106","24","29","34","500"
"5/11/20","24時","9540","694","120","100","20","28","34","512"
"5/12/20","24時","9765","694","108","87","21","30","35","521"
"5/13/20","24時","9973","697","95","77","18","26","37","539"
"5/14/20","24時","10147","698","87","68","19","26","37","548"
"5/15/20","24時","10318","698","78","59","19","23","38","559"
"5/16/20","24時","10456","699","75","58","17","21","38","565"
"5/17/20","24時","10522","699","70","53","17","20","38","571"
"5/18/20","24時","10623","699","60","45","15","20","38","581"
"5/19/20","24時","10788","699","49","36","13","18","38","594"
"5/20/20","24時","10950","699","43","31","12","17","38","601"
"5/21/20","24時","11076","699","43","31","12","13","38","605"
"5/22/20","24時","11191","699","41","30","11","13","40","605"
"5/23/20","24時","11274","699","41","30","11","9","40","609"
"5/24/20","24時","11310","699","39","29","10","7","40","613"
"5/25/20","24時","11392","699","37","27","10","7","40","615"
"5/26/20","24時","11512","699","34","28","6","7","40","618"
"5/27/20","24時","11626","699","32","27","5","5","40","622"
"5/28/20","24時","11714","699","29","24","5","4","41","625"
"5/29/20","24時","11804","699","28","23","5","3","42","626"
"5/30/20","24時","11875","699","28","23","5","3","42","626"
"5/31/20","24時","11905","699","23","18","5","4","42","630"
"6/1/20","24時","12025","699","22","18","4","3","42","632"
"6/2/20","24時","12167","699","18","14","4","3","42","636"
"6/3/20","24時","12315","699","16","12","4","0","42","641"
"6/4/20","24時","12450","699","10","6","4","0","42","647"
"6/5/20","24時","12569","699","5","1","4","0","42","652"
"6/6/20","24時","12642","699","5","1","4","0","42","652"
"6/7/20","24時","12677","699","5","1","4","0","42","652"
"6/8/20","24時","12830","699","4","1","3","0","43","652"
"6/9/20","24時","12980","699","4","1","3","0","43","652"
"6/10/20","24時","13105","699","3","0","3","0","43","653"
"6/11/20","24時","13241","699","3","3","0","0","43","653"
"6/12/20","24時","13301","699","3","3","0","0","43","653"
"6/13/20","24時","13355","699","3","3","0","0","43","653"
"6/14/20","24時","13377","699","3","3","0","0","43","653"
"6/15/20","24時","13441","699","3","3","0","0","43","653"
"6/16/20","24時","13526","699","3","3","0","0","43","653"
"6/17/20","24時","13665","699","3","3","0","0","43","653"
"6/18/20","24時","13745","699","3","3","0","0","43","653"
"6/19/20","24時","13886","700","4","4","0","0","43","653"
"6/20/20","24時","13915","700","4","4","0","0","43","653"
"6/21/20","24時","13930","702","6","6","0","0","43","653"
"6/22/20","24時","14018","702","6","6","0","0","43","653"
"6/23/20","24時","14176","703","7","7","0","0","43","653"
"6/24/20","24時","14347","704","8","8","0","0","43","653"
"6/25/20","24時","14483","704","7","7","0","0","43","654"
"6/26/20","24時","14637","705","7","7","0","1","43","654"
"6/27/20","24時","14671","705","7","7","0","1","43","654"
"6/28/20","24時","14695","705","7","7","0","1","43","654"
"6/29/20","24時","14857","705","8","8","0","0","45","652"
"6/30/20","24時","14947","706","6","6","0","0","45","655"
"7/1/20","24時","15056","708","7","7","0","0","45","656"
"7/2/20","24時","15205","709","7","7","0","1","45","656"
"7/3/20","24時","15362","709","7","7","0","1","45","656"
"7/4/20","24時","15461","710","8","8","0","1","45","656"
"7/5/20","24時","15593","712","10","10","0","1","45","656"
"7/6/20","24時","15792","716","12","12","0","1","45","658"
"7/7/20","24時","16089","717","12","12","0","1","45","659"
"7/8/20","24時","16313","720","14","14","0","1","45","660"
"7/9/20","24時","16552","722","11","11","0","4","45","662"
"7/10/20","24時","16730","726","15","15","0","4","45","662"
"7/11/20","24時","16817","731","19","19","0","5","45","662"
"7/12/20","24時","16846","737","25","25","0","5","45","662"
"7/13/20","24時","17192","739","23","23","0","2","45","669"
"7/14/20","24時","17478","739","23","23","0","2","45","669"
"7/15/20","24時","17829","760","39","39","0","2","45","674"
"7/16/20","24時","18310","777","45","45","0","6","45","681"
"7/17/20","24時","18644","800","52","52","0","14","45","689"
"7/18/20","24時","18933","813","54","54","0","17","45","697"
"7/19/20","24時","19089","834","69","69","0","17","45","703"
"7/20/20","24時","19396","841","71","71","0","20","45","705"
"7/21/20","24時","20016","853","72","72","0","30","45","706"
"7/22/20","24時","20675","883","81","81","0","32","45","725"
"7/23/20","24時","21298","918","90","89","1","38","45","745"
"7/24/20","24時","21956","941","100","99","1","33","45","763"
"7/25/20","24時","23180","965","93","92","1","31","45","796"
"7/26/20","24時","23551","1014","122","118","4","36","45","811"
"7/27/20","24時","24011","1026","130","126","4","40","45","811"
"7/28/20","24時","24520","1059","148","140","8","55","45","811"
"7/29/20","24時","25096","1105","155","149","6","49","45","856"
"7/30/20","24時","25952","1158","184","179","5","52","45","877"
"7/31/20","24時","26627","1220","219","215","4","44","45","912"
"8/1/20","24時","27277","1252","218","213","5","48","45","941"
"8/2/20","24時","27807","1312","263","259","4","49","45","955"
"8/3/20","24時","28241","1339","243","236","7","43","45","1008"
"8/4/20","24時","28848","1371","239","232","7","50","45","1037"
"8/5/20","24時","29623","1423","253","245","8","55","46","1069"
"8/6/20","24時","30276","1484","247","239","8","62","47","1128"
"8/7/20","24時","30984","1533","241","231","10","66","47","1179"
"8/8/20","24時","31663","1588","244","235","9","66","47","1231"
"8/9/20","24時","32165","1636","254","244","10","67","47","1268"
"8/10/20","24時","32588","1662","228","219","9","60","47","1327"
"8/11/20","24時","33215","1692","226","213","13","50","47","1369"
"8/12/20","24時","33876","1728","218","204","14","57","47","1406"
"8/13/20","24時","34579","1776","210","196","14","55","47","1464"
"8/14/20","24時","35200","1810","221","207","14","51","48","1490"
"8/15/20","24時","35836","1863","219","205","14","60","48","1536"
"8/16/20","24時","36336","1900","225","211","14","70","48","1557"
"8/17/20","24時","36814","1924","224","213","11","56","48","1596"
"8/18/20","24時","37431","1949","224","208","16","59","48","1618"
"8/19/20","24時","38036","1998","228","210","18","59","48","1663"
"8/20/20","24時","38650","2032","227","213","14","63","48","1695"
"8/21/20","24時","39318","2071","218","204","14","59","49","1746"
"8/22/20","24時","39941","2104","225","212","13","53","49","1778"
"8/23/20","24時","40388","2128","230","216","14","48","49","1802"
"8/24/20","24時","40919","2136","219","205","14","43","49","1826"
"8/25/20","24時","41591","2159","189","174","15","43","49","1878"
"8/26/20","24時","42080","2187","189","173","16","35","50","1913"
"8/27/20","24時","42734","2209","179","164","15","26","51","1953"
"8/28/20","24時","43308","2235","164","149","15","30","53","1988"