ISO3166-2,name,name_jp,population_jp,population_jp_male,population_jp_female,population_jp_ja,population_jp_ja_male,population_jp_ja_female,lastUpdate
JP-01,Hokkaido,北海道,5250000,2472000,2778000,5211000,2455000,2756000,2019-10-01
JP-02,Aomori,青森県,1246000,585000,661000,1240000,583000,657000,2019-10-01
JP-03,Iwate,岩手県,1227000,592000,635000,1219000,589000,631000,2019-10-01
JP-04,Miyagi,宮城県,2306000,1127000,1179000,2283000,1116000,1167000,2019-10-01
JP-05,Akita,秋田県,966000,454000,512000,963000,453000,509000,2019-10-01
JP-06,Yamagata,山形県,1078000,520000,558000,1070000,517000,552000,2019-10-01
JP-07,Fukushima,福島県,1846000,914000,931000,1831000,908000,923000,2019-10-01
JP-08,Ibaraki,茨城県,2860000,1427000,1433000,2810000,1401000,1408000,2019-10-01
JP-09,Tochigi,栃木県,1934000,964000,970000,1906000,951000,955000,2019-10-01
JP-10,Gunma,群馬県,1942000,962000,981000,1886000,932000,955000,2019-10-01
JP-11,Saitama,埼玉県,7350000,3668000,3682000,7174000,3575000,3599000,2019-10-01
JP-12,Chiba,千葉県,6259000,3105000,3155000,6141000,3051000,3090000,2019-10-01
JP-13,Tokyo,東京都,13921000,6846000,7075000,13405000,6589000,6817000,2019-10-01
JP-14,Kanagawa,神奈川県,9198000,4585000,4613000,8997000,4483000,4514000,2019-10-01
JP-15,Niigata,新潟県,2223000,1078000,1145000,2206000,1071000,1135000,2019-10-01
JP-16,Toyama,富山県,1044000,506000,537000,1026000,498000,528000,2019-10-01
JP-17,Ishikawa,石川県,1138000,553000,585000,1123000,545000,579000,2019-10-01
JP-18,Fukui,福井県,768000,374000,394000,756000,368000,388000,2019-10-01
JP-19,Yamanashi,山梨県,811000,397000,414000,798000,391000,407000,2019-10-01
JP-20,Nagano,長野県,2049000,1000000,1049000,2016000,985000,1030000,2019-10-01
JP-21,Gifu,岐阜県,1987000,964000,1022000,1940000,941000,998000,2019-10-01
JP-22,Shizuoka,静岡県,3644000,1797000,1847000,3557000,1754000,1803000,2019-10-01
JP-23,Aichi,愛知県,7552000,3780000,3773000,7316000,3661000,3655000,2019-10-01
JP-24,Mie,三重県,1781000,870000,911000,1736000,847000,890000,2019-10-01
JP-25,Shiga,滋賀県,1414000,699000,715000,1385000,683000,702000,2019-10-01
JP-26,Kyoto,京都府,2583000,1234000,1349000,2527000,1206000,1320000,2019-10-01
JP-27,Osaka,大阪府,8809000,4227000,4582000,8623000,4136000,4486000,2019-10-01
JP-28,Hyogo,兵庫県,5466000,2605000,2861000,5369000,2557000,2812000,2019-10-01
JP-29,Nara,奈良県,1330000,626000,704000,1319000,621000,698000,2019-10-01
JP-30,Wakayama,和歌山県,925000,435000,490000,918000,432000,486000,2019-10-01
JP-31,Tottori,鳥取県,556000,266000,290000,551000,264000,287000,2019-10-01
JP-32,Shimane,島根県,674000,326000,349000,665000,321000,344000,2019-10-01
JP-33,Okayama,岡山県,1890000,909000,980000,1866000,897000,968000,2019-10-01
JP-34,Hiroshima,広島県,2804000,1362000,1442000,2761000,1339000,1422000,2019-10-01
JP-35,Yamaguchi,山口県,1358000,645000,713000,1340000,637000,704000,2019-10-01
JP-36,Tokushima,徳島県,728000,347000,381000,723000,346000,378000,2019-10-01
JP-37,Kagawa,香川県,956000,464000,492000,945000,458000,487000,2019-10-01
JP-38,Ehime,愛媛県,1339000,634000,705000,1328000,628000,700000,2019-10-01
JP-39,Kochi,高知県,698000,329000,369000,693000,327000,367000,2019-10-01
JP-40,Fukuoka,福岡県,5104000,2416000,2688000,5039000,2381000,2658000,2019-10-01
JP-41,Saga,佐賀県,815000,386000,429000,808000,383000,425000,2019-10-01
JP-42,Nagasaki,長崎県,1327000,624000,702000,1318000,620000,698000,2019-10-01
JP-43,Kumamoto,熊本県,1748000,825000,922000,1731000,819000,913000,2019-10-01
JP-44,Oita,大分県,1135000,539000,597000,1123000,533000,590000,2019-10-01
JP-45,Miyazaki,宮崎県,1073000,505000,568000,1065000,502000,563000,2019-10-01
JP-46,Kagoshima,鹿児島県,1602000,753000,849000,1589000,749000,840000,2019-10-01
JP-47,Okinawa,沖縄県,1453000,715000,738000,1434000,704000,730000,2019-10-01